Date of Sale (dd/mm/yyyy),Sale Year,Sale Month,is_apartment,location,Description of Property,Not Full Market Price,Price_Adjusted_VAT_Clamped,vat_adjusted_flag
2016-02-05,2016,2,1,Kildare,Second-Hand Dwelling house /Apartment,No,65000.0,0
2016-08-26,2016,8,0,Limerick,Second-Hand Dwelling house /Apartment,No,130500.0,0
2016-06-08,2016,6,0,Limerick,New Dwelling house /Apartment,No,98745.0,1
2016-12-20,2016,12,0,Wexford,Second-Hand Dwelling house /Apartment,Yes,145000.0,0
2016-12-21,2016,12,0,Kerry,Second-Hand Dwelling house /Apartment,No,170000.0,0
2016-06-16,2016,6,0,Clare,Second-Hand Dwelling house /Apartment,No,152000.0,0
2016-09-30,2016,9,0,Dublin 14,New Dwelling house /Apartment,No,721137.5,1
2016-05-12,2016,5,0,Galway,Second-Hand Dwelling house /Apartment,Yes,80000.0,0
2016-11-16,2016,11,0,Kerry,Second-Hand Dwelling house /Apartment,No,148000.0,0
2016-03-02,2016,3,0,Wicklow,Second-Hand Dwelling house /Apartment,No,500000.0,0
2016-05-17,2016,5,0,Dublin 7,Second-Hand Dwelling house /Apartment,No,130000.0,0
2016-11-09,2016,11,0,Louth,Second-Hand Dwelling house /Apartment,No,120000.0,0
2016-07-30,2016,7,0,Mayo,Second-Hand Dwelling house /Apartment,No,150000.0,0
2016-10-15,2016,10,0,Kildare,New Dwelling house /Apartment,No,367000.0027,1
2016-12-22,2016,12,0,Dublin 27,New Dwelling house /Apartment,No,721137.5,1
2016-06-30,2016,6,0,Meath,Second-Hand Dwelling house /Apartment,No,108400.0,0
2016-04-29,2016,4,0,Cork,Second-Hand Dwelling house /Apartment,No,132000.0,0
2016-10-11,2016,10,0,Cavan,New Dwelling house /Apartment,No,102499.99995,1
2016-03-01,2016,3,1,Waterford,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-12-06,2016,12,0,Louth,Second-Hand Dwelling house /Apartment,No,185000.0,0
2016-09-22,2016,9,0,Dublin 27,New Dwelling house /Apartment,No,721137.5,1
2016-08-26,2016,8,0,Mayo,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-12-23,2016,12,1,Dublin 15,Second-Hand Dwelling house /Apartment,No,227000.0,0
2016-07-22,2016,7,0,Donegal,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-10-28,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-10-27,2016,10,0,Donegal,Second-Hand Dwelling house /Apartment,No,142500.0,0
2016-12-14,2016,12,0,Wicklow,Second-Hand Dwelling house /Apartment,No,125000.0,0
2016-02-19,2016,2,0,Galway,Second-Hand Dwelling house /Apartment,No,169000.0,0
2016-06-03,2016,6,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,450000.0,0
2016-12-02,2016,12,0,Mayo,Second-Hand Dwelling house /Apartment,No,140000.0,0
