Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-01-26,"45 PRIORY HALL, SPAWELL RD, WEXFORD",Wexford,,144000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"45 PRIORY HALL, SPAWELL RD, WEXFORD",ok,52.34209,-6.475031
2016-04-22,"RATHKENNY, ABBEYDORNEY, TRALEE",Kerry,,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"RATHKENNY, ABBEYDORNEY, TRALEE, Kerry",ok_relaxed_area,52.332447,-9.720015
2016-07-08,"44 YELLOW MEADOWS DR, CLONDALKIN, DUBLIN 22",Dublin,,215000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"44 YELLOW MEADOWS DR, CLONDALKIN, DUBLIN 22",ok,53.326854,-6.379203
2016-08-29,"31 HEATHER GROVE, PALMERSTOWN, DUBLIN 20",Dublin,,320000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"31 HEATHER GROVE, PALMERSTOWN, DUBLIN 20",ok,53.35239,-6.383472
2016-07-11,"7 Elder Heath Lawn, Elder Heath, Kiltipper Road",Dublin,,242291.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,7,"7 Elder Heath Lawn, Elder Heath, Kiltipper Road, Dublin",ok,53.272132,-6.383022
2016-11-15,"4 SANDYCOVE PHASE 1, BALLYMONEY, GOREY",Wexford,,184000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"4 SANDYCOVE PHASE 1, BALLYMONEY, GOREY, Wexford",ok,52.669704,-6.295443
2016-04-12,"41 AMIEN ST, AMIEN SQUARE BUILDING, DUBLIN 1",Dublin,,232500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"41 AMIEN ST, AMIEN SQUARE BUILDING, DUBLIN 1",ok,53.352394,-6.249481
2016-08-04,"OLDBRIDGE, WATERFORD ROAD LOWER, CARRICK BEG CARRICK ON SUIR",Tipperary,,103000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"OLDBRIDGE, WATERFORD ROAD LOWER, CARRICK BEG CARRICK ON SUIR, Tipperary",ok_relaxed_area,52.339698,-7.407657
2016-08-16,"APT 46, MANOR HALL APTS, MOUNR BROWNE DUBLIN 8",Dublin,,215000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"APT 46, MANOR HALL APTS, MOUNR BROWNE DUBLIN 8",ok,53.211524,-6.117245
2016-04-07,"5 BENGAL TERRACE, OLD CORK RD, LIMERICK",Limerick,,86000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"5 BENGAL TERRACE, OLD CORK RD, LIMERICK",ok_relaxed_area,52.646968,-8.59245
2016-11-17,"68 GRIFFITH PARADE, FINGLAS EAST, DUBLIN 11",Dublin,,229000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"68 GRIFFITH PARADE, FINGLAS EAST, DUBLIN 11",ok,53.382923,-6.282324
2016-04-27,"119 HARBOUR VIEW, CROFTON RD, DUN LAOGHAIRE",Dublin,,232000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"119 HARBOUR VIEW, CROFTON RD, DUN LAOGHAIRE, Dublin",ok_relaxed_area,53.29594,-6.138911
2016-07-15,"FIONN UISCE, DERRYDONNELL NORTH, ORANMORE",Galway,,377800.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"FIONN UISCE, DERRYDONNELL NORTH, ORANMORE, Galway",ok_relaxed_area,53.26879,-8.929051
2016-07-15,"19 BARTRA HEIGHTS, KILLALA, MAYO",Mayo,,85000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"19 BARTRA HEIGHTS, KILLALA, MAYO",ok,54.210956,-9.214407
2016-07-18,"392 COLLINSWOOD, BEAUMONT, DUBLIN 9",Dublin,,351500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"392 COLLINSWOOD, BEAUMONT, DUBLIN 9",ok_relaxed_area,53.381538,-6.233261
2016-05-16,"TEADIES LOWER, ENNISKEANE, CO CORK",Cork,,95000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"TEADIES LOWER, ENNISKEANE, CO CORK",ok_relaxed_area,51.738033,-8.917424
