Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-06-30,"CHARIS, ANNAGH, LISNAGRY",Limerick,,410000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"CHARIS, ANNAGH, LISNAGRY, Limerick",no_result,,
2016-06-17,"CLOONTURK, DROMOD, LEITRIM",Leitrim,,199900.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"CLOONTURK, DROMOD, LEITRIM",no_result,,
2016-01-18,"32 UPPER ST JOSEPHS TERRACE, ATHY, KILDARE",Kildare,,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"32 UPPER ST JOSEPHS TERRACE, ATHY, KILDARE",ok,52.998519,-6.987244
2016-06-10,"74 AN GRIANAN, BALLINROAD, DUNGARVAN",Waterford,,155000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"74 AN GRIANAN, BALLINROAD, DUNGARVAN, Waterford",ok,52.102676,-7.573153
2016-11-11,"25 ARDMAHON EST, WELL RD, DOUGLAS",Cork,,400000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"25 ARDMAHON EST, WELL RD, DOUGLAS, Cork",ok,51.886535,-8.451643
2016-12-19,"30 DUN NOR, DONASKEIGH, CO TIPPERARY",Tipperary,,78000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"30 DUN NOR, DONASKEIGH, CO TIPPERARY",ok,52.523788,-8.082557
2016-01-06,"GLASHEEN HOUSE, LISHEENCRONY, DONNAHA    KILKEE",Clare,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"GLASHEEN HOUSE, LISHEENCRONY, DONNAHA    KILKEE, Clare",no_result,,
2016-06-07,"20 THE DRIVE, DUNBOYNE CASTLE, DUNBOYNE",Meath,,272000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"20 THE DRIVE, DUNBOYNE CASTLE, DUNBOYNE, Meath",ok,53.414073,-6.478745
2016-12-23,"10 CALRY COURT, SLIGO, SLIGO",Sligo,,64000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"10 CALRY COURT, SLIGO, SLIGO",no_result,,
2016-03-24,"6  Holywell Square, Feltrim Road, Swords",Dublin,,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"6  Holywell Square, Feltrim Road, Swords, Dublin",ok,53.446269,-6.208399
2016-12-15,"APT 214H, THE ISLAND, CHAPELIZOD",Dublin,,212000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"APT 214H, THE ISLAND, CHAPELIZOD, Dublin",no_result,,
2016-02-26,"13 DROWES CLOSE, TULLAGHAN, LEITRIM",Leitrim,,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"13 DROWES CLOSE, TULLAGHAN, LEITRIM",ok,54.471355,-8.321517
2016-09-14,"54 DOLPHIN RD, DUBLIN 12, DUBLIN",Dublin,,216000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"54 DOLPHIN RD, DUBLIN 12, DUBLIN",ok,53.333786,-6.29943
2016-10-20,"63 BALLSBRIDGE WOOD, SHELBOURNE RD, DUBLIN 4",Dublin,,346667.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,10,"63 BALLSBRIDGE WOOD, SHELBOURNE RD, DUBLIN 4",no_result,,
