Date of Sale (dd/mm/yyyy),County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,is_apartment,has_number,dublin_district,dublin_district_missing,area_token,area_token_missing,eircode_missing,eircode_prefix,Price_Clamped,vat_adjusted_flag,Price_Adjusted_VAT
2019-02-01,Dublin,Unknown,280000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,2,0,1,Dublin 24,0,kiltipper road,0,1,UNK,280000.0,0,280000.0
2019-02-22,Wicklow,Unknown,273128.0,No,Yes,New Dwelling house /Apartment,Unknown,2019,2,0,1,Unknown,1,cooldross lane,0,1,UNK,273128.0,1,310000.28
2019-03-20,Dublin,Unknown,390000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,3,0,1,Dublin 14,0,castleside dr,0,1,UNK,390000.0,0,390000.0
2019-09-05,Westmeath,Unknown,117000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,9,0,1,Unknown,1,athlone,0,1,UNK,117000.0,0,117000.0
2019-09-25,Tipperary,Unknown,163000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,9,0,1,Unknown,1,cashel,0,1,UNK,163000.0,0,163000.0
2019-07-04,Dublin,Unknown,255506.6,No,Yes,New Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,the forge,0,1,UNK,255506.6,1,289999.991
2019-07-25,Dublin,Unknown,217500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Dublin 15,0,bealing village tyrrelstown,0,1,UNK,217500.0,0,217500.0
2019-12-12,Wexford,Unknown,190000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Unknown,1,gorey,0,1,UNK,190000.0,0,190000.0
2019-07-31,Kerry,Unknown,320000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,0,Unknown,1,blennerville,0,1,UNK,320000.0,0,320000.0
2019-03-26,Dublin,Unknown,478000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,3,0,1,Unknown,1,seabury,0,1,UNK,478000.0,0,478000.0
2019-10-16,Wicklow,Unknown,298500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,10,0,1,Unknown,1,greystones,0,1,UNK,298500.0,0,298500.0
2019-12-06,Dublin,Unknown,245000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Dublin 11,0,finglas,0,1,UNK,245000.0,0,245000.0
2019-01-29,Cork,Unknown,187000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,1,0,0,Unknown,1,blossom grove,0,1,UNK,187000.0,0,187000.0
2019-11-25,Dublin,Unknown,515000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,11,0,1,Dublin 16,0,rathfarnham,0,1,UNK,515000.0,0,515000.0
2019-12-13,Dublin,Unknown,335000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Dublin 15,0,hunters run,0,1,UNK,335000.0,0,335000.0
2019-11-22,Galway,Unknown,260000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,11,0,0,Unknown,1,ballinasloe,0,1,UNK,260000.0,0,260000.0
2019-09-19,Dublin,Unknown,114000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2019,9,0,1,Dublin 11,0,cardiffsbridge avenue,0,1,UNK,114000.0,0,114000.0
2019-06-28,Dublin,Unknown,525000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,6,0,1,Dublin 6,0,milltown,0,1,UNK,525000.0,0,525000.0
2019-07-22,Kildare,Unknown,243000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,bakers walk,0,1,UNK,243000.0,0,243000.0
2019-12-19,Galway,Unknown,95000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Unknown,1,ballyconneely,0,1,UNK,95000.0,0,95000.0
2019-11-29,Cork,Unknown,237643.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,11,0,1,Unknown,1,aherla,0,1,UNK,237643.0,0,237643.0
2019-02-28,Donegal,Unknown,50000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,2,0,0,Unknown,1,kilmacrennan,0,1,UNK,60000.0,0,50000.0
2019-05-17,Cork,Unknown,223000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,5,0,1,Unknown,1,pouladuff rd,0,1,UNK,223000.0,0,223000.0
